"Part Number","Type","Status","Mounting Type","Capacitance","Voltage","Low Frequency Ripple Current","High Frequency Ripple Current","ESR @ 20°C/100kHz","Leakage Current","Temperature Range","Size","Life/Endurance","Vibration Resistant","AEC-Q200 Compliant","Packaging Type"
"UES1V331MHM","Aluminium","Mass Production","Radial Lead","330 µF","35 V","","","","346.5 µA","-40℃~85℃ °C","φ16x25L mm","1000 Lo","","","Bulk(No Terminal Forming) / Bag Packing"
"UES1H220MPM","Aluminium","Mass Production","Radial Lead","22 µF","50 V","","","","33 µA","-40℃~85℃ °C","φ10x12.5L mm","1000 Lo","","","Bulk(No Terminal Forming) / Bag Packing"
"UES0J101MPM","Aluminium","End Of Life","Radial Lead","100 µF","6.3 V","","","","18.9 µA","-40℃~85℃ °C","φ8x11.5L mm","1000 Lo","","","Bulk(No Terminal Forming) / Bag Packing"
"UES0J331MPM","Aluminium","End Of Life","Radial Lead","330 µF","6.3 V","","","","62.37 µA","-40℃~85℃ °C","φ10x16L mm","1000 Lo","","","Bulk(No Terminal Forming) / Bag Packing"
"UES1A221MPM","Aluminium","End Of Life","Radial Lead","220 µF","10 V","","","","66 µA","-40℃~85℃ °C","φ10x16L mm","1000 Lo","","","Bulk(No Terminal Forming) / Bag Packing"
"UES1A331MPM","Aluminium","End Of Life","Radial Lead","330 µF","10 V","","","","99 µA","-40℃~85℃ °C","φ10x20L mm","1000 Lo","","","Bulk(No Terminal Forming) / Bag Packing"
"UES1C220MEM","Aluminium","End Of Life","Radial Lead","22 µF","16 V","","","","10.56 µA","-40℃~85℃ °C","φ6.3x11L mm","1000 Lo","","","Bulk(No Terminal Forming) / Bag Packing"
"UES1H2R2MDM","Aluminium","End Of Life","Radial Lead","2.2 µF","50 V","","","","3.3 µA","-40℃~85℃ °C","φ5x11L mm","1000 Lo","","","Bulk(No Terminal Forming) / Bag Packing"
"UES1C102MHM","Aluminium","Mass Production","Radial Lead","1 mF","16 V","","","","480 µA","-40℃~85℃ °C","φ16x25L mm","1000 Lo","","","Bulk(No Terminal Forming) / Bag Packing"
"UES1E331MHM","Aluminium","Mass Production","Radial Lead","330 µF","25 V","","","","247.5 µA","-40℃~85℃ °C","φ12.5x25L mm","1000 Lo","","","Bulk(No Terminal Forming) / Bag Packing"
